POC	Control Active	SP	PV	GOP PV	AVG PV	PID	EST			e	Se	de
5	1	-1	21.5753	5.39382	21.5753	-46.1506	2.47135			-22.5753	-22.5753	-22.5753
6	1	-1	1.24377	5.70476	11.4095	-5.48753	3.77826			-2.24377	-24.8191	20.3315
7	1	-1	1.45895	6.0695	8.09267	-28.4932	4.70524			-2.45895	-27.278	-0.215181
8	1	-1	1.32339	6.40035	6.40035	-30.4658	5.43837			-2.32339	-29.6014	0.135557
9	1	-1	2.43632	0.60908	5.60754	-35.1506	6.08069			-3.43632	-33.0377	-1.11293
10	1	-1	1.28784	0.931039	4.88759	-35.1771	6.64054			-2.28784	-35.3255	1.14848
11	1	-1	1.47703	1.3003	4.40037	-38.9918	7.14458			-2.47703	-37.8026	-0.189192
12	1	-1	1.36081	1.6405	4.02042	-41.0472	7.6051			-2.36081	-40.1634	0.11622
13	1	-1	2.41524	0.60381	3.84207	-45.6331	8.04519			-3.41524	-43.5786	-1.05443
14	1	-1	1.28988	0.926279	3.58685	-45.7431	8.45605			-2.28988	-45.8685	1.12536
15	1	-1	1.42743	1.28314	3.39054	-49.4335	8.84442			-2.42743	-48.2959	-0.137553
16	1	-1	1.29944	1.608	3.21628	-51.4674	9.21283			-2.29944	-50.5954	0.127991
17	1	-1	2.41143	0.602859	3.15437	-56.1188	9.57415			-3.41143	-54.0068	-1.112
18	1	-1	1.23427	0.911427	3.01722	-56.0639	9.91976			-2.23427	-56.2411	1.17716
19	1	-1	1.3885	1.25855	2.90864	-59.7838	10.2529			-2.3885	-58.6296	-0.15423
20	1	-1	1.26023	1.57361	2.80561	-61.7615	10.5743			-2.26023	-60.8898	0.128274
21	1	-1	2.343	0.585751	2.7784	-66.3156	10.8926			-3.343	-64.2328	-1.08278
22	1	-1	1.20706	0.887517	2.6911	-66.3039	11.2008			-2.20706	-66.4399	1.13594
23	1	-1	1.39368	1.23594	2.62282	-70.0202	11.5012			-2.39368	-68.8336	-0.186622
24	1	-1	1.33434	1.56952	2.5584	-72.1086	11.7943			-2.33434	-71.1679	0.059339
25	1	-1	2.67296	0.668241	2.56385	-77.1795	12.088			-3.67296	-74.8409	-1.33862
26	1	-1	1.22113	0.973523	2.50282	-76.6102	12.3747			-2.22113	-77.062	1.45183
27	1	-1	1.55102	1.36128	2.46144	-80.9429	12.6566			-2.55102	-79.613	-0.329886
28	1	-1	1.33242	1.69438	2.41439	-82.7268	12.9332			-2.33242	-81.9454	0.218598
29	1	-1	2.54681	0.636703	2.41969	-87.7066	13.2103			-3.54681	-85.4922	-1.2144
30	1	-1	1.25741	0.951056	2.37499	-87.4603	13.4824			-2.25741	-87.7497	1.2894
31	1	-1	1.76268	1.39173	2.35231	-92.0176	13.7518			-2.76268	-90.5123	-0.505269
32	1	-1	1.29954	1.71661	2.31471	-93.3487	14.017			-2.29954	-92.8119	0.463137
33	1	-1	2.34136	0.585341	2.31563	-98.1951	14.2822			-3.34136	-96.1532	-1.04182
34	1	-1	1.21184	0.888301	2.27884	-98.2356	14.5432			-2.21184	-98.3651	1.12952
35	1	-1	1.72157	1.31869	2.26086	-102.596	14.8022			-2.72157	-101.087	-0.509733
36	1	-1	1.29027	1.64126	2.23053	-103.946	15.0577			-2.29027	-103.377	0.431302
37	1	-1	2.30498	0.576246	2.23279	-108.697	15.3135			-3.30498	-106.682	-1.01471
38	1	-1	1.12481	0.85745	2.2002	-108.627	15.5655			-2.12481	-108.807	1.18017
39	1	-1	1.67739	1.2768	2.18526	-113.037	15.8158			-2.67739	-111.484	-0.552571
40	1	-1	1.20761	1.5787	2.1581	-114.222	16.063			-2.20761	-113.692	0.469773
41	1	-1	2.35307	0.588267	2.16337	-119.19	16.3108			-3.35307	-117.045	-1.14545
42	1	-1	1.1301	0.870792	2.13618	-118.952	16.5555			-2.1301	-119.175	1.22296
43	1	-1	1.62778	1.27774	2.12315	-123.3	16.7987			-2.62778	-121.803	-0.497676
44	1	-1	1.19399	1.57623	2.09992	-124.563	17.0392			-2.19399	-123.997	0.433791
45	1	-1	2.37705	0.594263	2.10668	-129.557	17.2805			-3.37705	-127.374	-1.18307
46	1	-1	1.13806	0.878778	2.08361	-129.273	17.5192			-2.13806	-129.512	1.23899
47	1	-1	1.62329	1.2846	2.07291	-133.62	17.7566			-2.62329	-132.135	-0.485233
48	1	-1	1.17015	1.57714	2.05239	-134.852	17.9917			-2.17015	-134.305	0.453149
49	1	-1	2.30673	0.576682	2.05804	-139.749	18.2275			-3.30673	-137.612	-1.13658
50	1	-1	1.11343	0.85504	2.03751	-139.532	18.4609			-2.11343	-139.725	1.1933
51	1	-1	1.61166	1.25796	2.02845	-143.835	18.6932			-2.61166	-142.337	-0.49823
52	1	-1	1.19208	1.55598	2.01102	-145.11	18.9236			-2.19208	-144.529	0.419583
53	1	-1	2.26944	0.567361	2.0163	-149.876	19.1545			-3.26944	-147.799	-1.07736
54	1	-1	1.18888	0.864581	1.99975	-149.907	19.3836			-2.18888	-149.987	1.08056
55	1	-1	1.58756	1.26147	1.99167	-153.974	19.6117			-2.58756	-152.575	-0.398678
56	1	-1	1.26189	1.57694	1.97763	-155.511	19.8382			-2.26189	-154.837	0.325665
57	1	-1	2.25431	0.563577	1.98285	-160.084	20.0654			-3.25431	-158.091	-0.992415
58	1	-1	1.1923	0.861652	1.96821	-160.221	20.2908			-2.1923	-160.283	1.06201
59	1	-1	1.45893	1.22638	1.95895	-164.009	20.5152			-2.45893	-162.742	-0.266636
60	1	-1	1.27227	1.54445	1.94669	-165.828	20.7382			-2.27227	-165.015	0.186664
61	1	-1	2.40485	0.601213	1.95473	-170.552	20.9621			-3.40485	-168.42	-1.13258
62	1	-1	1.2689	0.918438	1.9429	-170.552	21.1846			-2.2689	-170.688	1.13595
63	1	-1	1.4884	1.29054	1.9352	-174.396	21.4063			-2.4884	-173.177	-0.219497
1	1.07992	0.917321	1.43701	-144.904	16.4835			-2.07992	-143.784	-0.120389
.604			-1.92152	-131.479	-0.076791
